"id","chat_id","created_at"
"1","250465332","12.10.2022 8:26:07"
"3","723941656","12.10.2022 18:23:14"
"5","192193316","12.10.2022 18:39:57"
"8","213316727","13.10.2022 19:11:52"
"166","559843492","14.10.2022 22:36:18"
"175","192193316",null
"176","192193316",null
"177","192193316",null
"178","192193316",null
"179","192193316",null
"180","213316727",null
"181","213316727",null
"182","275579913",null
"183","192193316",null
"184","192193316",null
"185","192193316",null
"186","192193316",null
"187","326525586",null
